2025-08-23 13:35:08 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:08 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:08 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:08 | INFO     | backend.nodes.researchers.base | ✅ Generated 4 queries for industry_analyzer in 6.51s: ['大塚商会 market position in None industry', '大塚商会 competitors in None industry', '大塚商会 trends and challenges in None industry', '大塚商会 market size and growth in None industry']
2025-08-23 13:35:08 | INFO     | backend.nodes.researchers.base | 🎯 Final queries for industry_analyzer: ['大塚商会 market position in None industry', '大塚商会 competitors in None industry', '大塚商会 trends and challenges in None industry', '大塚商会 market size and growth in None industry']
2025-08-23 13:35:08 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:08 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as industry_analyzer
2025-08-23 13:35:08 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:08 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:08 | INFO     | backend.nodes.researchers.base | 🔍 Generating queries for 大塚商会 as news_analyzer
2025-08-23 13:35:13 | INFO     | httpx                     | HTTP Request: POST https://lab-teama.openai.azure.com/openai/deployments/gpt-5-mini/chat/completions?api-version=2024-12-01-preview "HTTP/1.1 200 OK"
2025-08-23 13:35:13 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:13 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:13 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:13 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:13 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:13 | INFO     | backend.nodes.researchers.base | ✅ Generated 4 queries for news_analyzer in 5.87s: ['大塚商会 プレスリリース 2025', '大塚商会 最新発表', '大塚商会 新規提携 発表', '大塚商会 ニュース 最新']
2025-08-23 13:35:13 | INFO     | backend.nodes.researchers.base | 🎯 Final queries for news_analyzer: ['大塚商会 プレスリリース 2025', '大塚商会 最新発表', '大塚商会 新規提携 発表', '大塚商会 ニュース 最新']
2025-08-23 13:35:13 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as news_analyzer
2025-08-23 13:35:13 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:13 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:14 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:14 | INFO     | backend.nodes.researchers.base | ✅ Search completed for news_analyzer in 1.04s with 5 documents
2025-08-23 13:35:14 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:14 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as news_analyzer
2025-08-23 13:35:14 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:14 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:15 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:15 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:15 | INFO     | backend.utils.references  | Cleaned title from '大塚製薬（東証:4768）の有望な業績は、軟弱な基盤の上に成り立っ ...' to '大塚製薬（東証:4768）の有望な業績は、軟弱な基盤の上に成り立っ'
2025-08-23 13:35:15 | INFO     | backend.nodes.researchers.base | ✅ Search completed for industry_analyzer in 7.68s with 5 documents
2025-08-23 13:35:15 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:15 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as industry_analyzer
2025-08-23 13:35:15 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:15 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:15 | INFO     | backend.nodes.researchers.base | ✅ Search completed for company_analyzer in 20.38s with 5 documents
2025-08-23 13:35:15 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:15 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as company_analyzer
2025-08-23 13:35:15 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:15 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:15 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:15 | INFO     | backend.nodes.researchers.base | ✅ Search completed for news_analyzer in 0.89s with 5 documents
2025-08-23 13:35:15 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:15 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as news_analyzer
2025-08-23 13:35:15 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:15 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:16 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:16 | INFO     | backend.nodes.researchers.base | ✅ Search completed for news_analyzer in 1.01s with 5 documents
2025-08-23 13:35:16 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:16 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as news_analyzer
2025-08-23 13:35:16 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:16 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:17 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:17 | INFO     | backend.nodes.researchers.base | ✅ Search completed for industry_analyzer in 1.45s with 5 documents
2025-08-23 13:35:17 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:17 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as industry_analyzer
2025-08-23 13:35:17 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:17 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:17 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:17 | INFO     | backend.nodes.researchers.base | ✅ Search completed for company_analyzer in 1.76s with 5 documents
2025-08-23 13:35:17 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:17 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as company_analyzer
2025-08-23 13:35:17 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:17 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:17 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:17 | INFO     | backend.nodes.researchers.base | ✅ Search completed for news_analyzer in 1.10s with 5 documents
2025-08-23 13:35:17 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:17 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:17 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:18 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:18 | INFO     | backend.nodes.researchers.base | ✅ Search completed for industry_analyzer in 1.82s with 5 documents
2025-08-23 13:35:18 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:18 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as industry_analyzer
2025-08-23 13:35:18 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:18 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:19 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:19 | INFO     | backend.utils.references  | Cleaned title from 'Yahoo Finance - Stock Market Live, Quotes, Business & Finance ...' to 'Yahoo Finance - Stock Market Live, Quotes, Business & Finance'
2025-08-23 13:35:19 | INFO     | backend.nodes.researchers.base | ✅ Search completed for financial_analyzer in 17.78s with 5 documents
2025-08-23 13:35:19 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:19 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as financial_analyzer
2025-08-23 13:35:19 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:19 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:19 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:19 | INFO     | backend.nodes.researchers.base | ✅ Search completed for company_analyzer in 2.14s with 5 documents
2025-08-23 13:35:19 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:19 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as company_analyzer
2025-08-23 13:35:19 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:19 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:20 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:20 | INFO     | backend.nodes.researchers.base | ✅ Search completed for industry_analyzer in 1.65s with 5 documents
2025-08-23 13:35:20 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:20 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:20 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:21 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:21 | INFO     | backend.nodes.researchers.base | ✅ Search completed for company_analyzer in 1.68s with 5 documents
2025-08-23 13:35:21 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:21 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:21 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:22 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:22 | INFO     | backend.nodes.researchers.base | ✅ Search completed for financial_analyzer in 3.06s with 5 documents
2025-08-23 13:35:22 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:22 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as financial_analyzer
2025-08-23 13:35:22 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:22 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:27 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:27 | INFO     | backend.nodes.researchers.base | ✅ Search completed for financial_analyzer in 4.81s with 5 documents
2025-08-23 13:35:27 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:27 | INFO     | backend.nodes.researchers.base | 🔍 Starting search for 1 queries as financial_analyzer
2025-08-23 13:35:27 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:27 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | INFO     | httpx                     | HTTP Request: POST https://api.tavily.com/search "HTTP/1.1 200 OK"
2025-08-23 13:35:31 | INFO     | backend.nodes.researchers.base | ✅ Search completed for financial_analyzer in 3.89s with 5 documents
2025-08-23 13:35:31 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | 🚀 Starting curation for company: 大塚商会
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | Sending initial curation status update for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | Sending initial curation status update for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | 🔍 Evaluating 20 documents
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.1004 for 'Top Websites for Finding a Company's Financial Stats The Asia Trade - Bloomberg Best Online Brokers for 2025 – Forbes Advisor Company Earnings Calendar - Yahoo Finance Investopedia Latest News & Updates: Breaking News, Headlines Today'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0619 for 'Company Earnings Calendar - Yahoo Finance'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0571 for 'Investopedia'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0399 for 'Yahoo Finance - Stock Market Live, Quotes, Business & Finance'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0303 for 'Yahoo! Finance Wilson Bank Holding Company (WBHC) Stock Historical Prices & Data - Yahoo Finance'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.3060 for 'Bloomberg 大塚製薬株式会社 - LEI: 353800T027BNMJ8BG858'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.1555 for 'Yahoo! Finance Daisui Co.,Ltd. (7538.T) Income Statement - Yahoo Finance'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0845 for 'Yahoo! 來自 Yahoo 財經的股票代號查詢'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0584 for 'Yahoo! Finance SWI.(L)B.F.-GL.CO.H EO B (FHKG.HM) Stock Price, News, Quote & History - Yahoo Finance'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0388 for 'Yahoo! Finance GCL Global Holdings Ltd (GCL) Stock Price, News, Quote & History - Yahoo Finance'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.1803 for 'Yahoo! Finance Daifuku Co., Ltd. (DAIUF) Stock Price, News, Quote & History - Yahoo Finance'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0296 for 'Yahoo! Finance JetBlue Airways Corporation (JBLU) Stock Forecasts'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0291 for 'Yahoo! JAPAN AIRLINES CO. LTD (JAL.F) 股價、報價、記錄及新聞 - Yahoo 財經'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0280 for 'Yahoo! Galantas Gold Corporation (GAL.V) Stock Price, News, Quote & History - Yahoo Finance'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0275 for 'Yahoo! Finance Value Line, Inc. (VALU) Company Profile & Facts'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.1978 for 'Yahoo! 價值投資：教您如何更準確運用ROE'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.1572 for 'Yahoo! Finance Dodge & Cox Exits Time Warner Cable, Buys MetLife'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0446 for 'Yahoo! Finance Exploring revenue and profitability drivers at Disney'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0432 for 'Yahoo! Finance Donald Yacktman Invests in Bank of America, Berkshire'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0414 for 'Yahoo! Finance iShares S&P/TSX Global Gold Index ETF (XGD.TO) Holdings - Yahoo Finance'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ✅ Document evaluation completed in 0.00s: 0 documents kept
2025-08-23 13:35:31 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | Sending initial curation status update for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | WARNING  | backend.services.websocket_manager | No active connections for job 824ceb2b-700b-43d3-a553-3d4dfb23935b
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | 🔍 Evaluating 18 documents
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0866 for 'Multi-billion-dollar ALCOSAN wastewater project finally underway - CBS News'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0715 for 'Pop Mart sees revenue hitting over $4 bln this year, to launch mini Labubus - Reuters'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0678 for 'XtalPi Holdings Limited to Announce 2025 Interim Results on August 27, 2025 - Financial Times'
2025-08-23 13:35:31 | INFO     | backend.nodes.curator     | ❌ Document below threshold with score 0.0596 for '2026 Farmers' Almanac releases winter predictions - CBS News'
